"NAME","TOTAL","OCCUPIED","VACANT","OWNER","OWNED_MORT","OWNED_FREE","RENTER","state","county","geoid"
"Lewis County","6580","5226","1354","4012","1738","2274","658","21","135","21135"
"Lincoln County","11055","9677","1378","7573","3763","3810","1707","21","137","21137"
"Livingston County","4879","3803","1076","3218","1538","1680","308","21","139","21139"
"Logan County","12361","10459","1902","7423","3843","3580","2629","21","141","21141"
"Lyon County","4891","3266","1625","2732","1325","1407","458","21","143","21143"
"McCracken County","32237","27787","4450","17930","9535","8395","9265","21","145","21145"
"McCreary County","7542","6187","1355","4179","2021","2158","1640","21","147","21147"
"Madison County","36978","33876","3102","20518","12554","7964","12424","21","151","21151"
"Marion County","8336","7433","903","5446","2616","2830","1767","21","155","21155"
"Marshall County","16229","13119","3110","10926","5446","5480","1988","21","157","21157"
"Mason County","8168","6523","1645","4510","2327","2183","1805","21","161","21161"
"Meade County","12530","10690","1840","7965","4982","2983","2482","21","163","21163"
"Mercer County","10195","8718","1477","6394","3647","2747","2240","21","167","21167"
"Metcalfe County","4753","4187","566","3278","1179","2099","725","21","169","21169"
"Montgomery County","12088","10653","1435","7195","4355","2840","3213","21","173","21173"
"Morgan County","6013","4796","1217","3677","1612","2065","695","21","175","21175"
"Nelson County","19211","17991","1220","14043","8463","5580","3610","21","179","21179"
"Nicholas County","3293","2714","579","1893","926","967","744","21","181","21181"
"Oldham County","22225","21259","966","18376","13250","5126","2563","21","185","21185"
"Owen County","5753","4246","1507","3431","1720","1711","732","21","187","21187"
"Pendleton County","6381","5250","1131","3719","2128","1591","1405","21","191","21191"
"Pike County","31045","25506","5539","18448","6337","12111","5014","21","195","21195"
"Powell County","5677","4698","979","3292","1663","1629","1120","21","197","21197"
"Robertson County","1106","859","247","624","317","307","209","21","201","21201"
"Rockcastle County","7881","6609","1272","5059","2139","2920","1032","21","203","21203"
"Russell County","10150","7122","3028","5345","2294","3051","1444","21","207","21207"
"Scott County","22535","21186","1349","15326","11205","4121","5358","21","209","21209"
"Simpson County","7927","7181","746","4599","2786","1813","2440","21","213","21213"
"Spencer County","7368","6899","469","5994","4375","1619","835","21","215","21215"
"Todd County","5356","4655","701","3124","1565","1559","1304","21","219","21219"
"Trimble County","4007","3398","609","2641","1331","1310","661","21","223","21223"
"Union County","6246","5176","1070","3683","1879","1804","1282","21","225","21225"
"Washington County","5206","4702","504","3538","2059","1479","1082","21","229","21229"
"Wayne County","10946","8298","2648","6133","2427","3706","1836","21","231","21231"
"Whitley County","15490","12685","2805","8680","3803","4877","3223","21","235","21235"
"Wolfe County","3731","2991","740","1879","643","1236","884","21","237","21237"
"Allen County","9501","7816","1685","5898","3063","2835","1684","21","003","21003"
"Adair County","8626","6991","1635","5404","2591","2813","1382","21","001","21001"
"Anderson County","9483","8757","726","6610","4314","2296","1950","21","005","21005"
"Ballard County","3915","3052","863","2403","1162","1241","533","21","007","21007"
"Bath County","5525","4885","640","3496","1784","1712","897","21","011","21011"
"Bell County","13226","10504","2722","6628","2138","4490","3085","21","013","21013"
"Bourbon County","9085","7990","1095","5029","3015","2014","2537","21","017","21017"
"Boyd County","21649","18213","3436","12319","7008","5311","5368","21","019","21019"
"Bracken County","3860","3197","663","2426","1428","998","603","21","023","21023"
"Breckinridge County","10828","7731","3097","6325","2978","3347","1110","21","027","21027"
"Bullitt County","31841","29940","1901","24372","15871","8501","5053","21","029","21029"
"Caldwell County","6289","5215","1074","3876","1839","2037","1143","21","033","21033"
"Calloway County","18924","15492","3432","9730","5125","4605","5276","21","035","21035"
"Carlisle County","2471","1925","546","1573","736","837","297","21","039","21039"
"Carroll County","4730","4176","554","2749","1172","1577","1306","21","041","21041"
"Casey County","7536","6048","1488","4632","1676","2956","1103","21","045","21045"
"Christian County","29961","26097","3864","12240","6396","5844","12913","21","047","21047"
"Clay County","9055","7432","1623","5122","1556","3566","1519","21","051","21051"
"Clinton County","5314","4023","1291","2811","997","1814","1042","21","053","21053"
"Cumberland County","3673","2642","1031","1910","677","1233","590","21","057","21057"
"Daviess County","43348","40229","3119","26792","16420","10372","12836","21","059","21059"
"Elliott County","3463","2412","1051","1872","581","1291","398","21","063","21063"
"Fayette County","142813","130926","11887","71547","49049","22498","57282","21","067","21067"
